Programação 2,1411168,Programação 1,1411167
Programação 2,1411168,Laboratório de Programação 1,1411180
Programação 2,1411168,Introdução a Computação,1411174
Laboratório Programação 2,1411181,Programação 1,1411167
Laboratório Programação 2,1411181,Laboratório de Programação 1,1411180
Laboratório Programação 2,1411181,Introdução a Computação,1411174
Teoria dos Grafos,1411170,Programação 1,1411167
Teoria dos Grafos,1411170,Laboratório de Programação 1,1411180
Teoria dos Grafos,1411170,Introdução a Computação,1411174
Cálculo Diferencial e Integral 2,1109053,Cálculo Diferencial e Integral 1,1109103
Cálculo Diferencial e Integral 2,1109053,Álgebra Vetorial e Geometria Analítica,1109035
Física Clássica,1108089,Cálculo Diferencial e Integral 1,1109103
Física Clássica,1108089,Álgebra Vetorial e Geometria Analítica,1109035
Estrutura de Dados,1411172,Programação 2,1411168
Estrutura de Dados,1411172,Laboratório de Programação 2,1411181
Estrutura de Dados,1411172,Teoria dos Grafos,1411170
Laboratório de Estrutura de Dados,1411179,Programação 2,1411168
Laboratório de Estrutura de Dados,1411179,Laboratório de Programação 2,1411181
Laboratório de Estrutura de Dados,1411179,Teoria dos Grafos,1411170
Teoria da Computação,1411171,Introdução a Computação,1411174
Teoria da Computação,1411171,Teoria dos Grafos,1411170
Teoria da Computação,1411171,Matemática Discreta,1109113
Probabilidade e Estatística,1114107,Cálculo Diferencial e Integral 2,1109053
Álgebra Linear,1109049,Álgebra Vetorial e Geometria Analítica,1109035
Física Moderna,1108090,Cálculo Diferencial e Integral 2,1109053
Física Moderna,1108090,Física Clássica,1108089
Organização e Arquitetura de Computadores,1411175,Estrutura de Dados,1411172
Organização e Arquitetura de Computadores,1411175,Laboratório de Estrutura de Dados,1411179
Organização e Arquitetura de Computadores,1411175,Física Moderna,1108090
Laboratório de Organização e Arquitetura de Computadores,1411182,Estrutura de Dados,1411172
Laboratório de Organização e Arquitetura de Computadores,1411182,Laboratório de Estrutura de Dados,1411179
Laboratório de Organização e Arquitetura de Computadores,1411182,Física Moderna,1108090
Paradigmas de Linguagens de Programação,1411169,Estrutura de Dados,1411172
Paradigmas de Linguagens de Programação,1411169,Laboratório de Estrutura de Dados,1411179
Paradigmas de Linguagens de Programação,1411169,Teoria da Computação,1411171
Métodos Estatísticos,1114114,Álgebra Linear,1109049
Métodos Estatísticos,1114114,Probabilidade e Estatística,1114107
Lógica Matemática,1411173,Teoria da Computação,1411171
Sistemas de Informação 2,1411195,Gerência da Informação,1411176
Engenharia de Software 1,1411177,Laboratório de Programação 2,1411181
Engenharia de Software 1,1411177,Programação 2,1411168
Análise e Técnica de Algorítimos,1411187,Estrutura de Dados,1411172
Análise e Técnica de Algorítimos,1411187,Laboratório de Estrutura de Dados,1411179
Análise e Técnica de Algorítimos,1411187,Cálculo Diferencial e Integral 2,1109053
Análise e Técnica de Algorítimos,1411187,Lógica Matemática,1411173
Redes de Computadores,1411190,Organização e Arquitetura de Computadores,1411175
Redes de Computadores,1411190,Laboratório de Organização e Arquitetura de Computadores,1411182
Compiladores,1411189,Organização e Arquitetura de Computadores,1411175
Compiladores,1411189,Laboratório de Organização e Arquitetura de Computadores,1411182
Compiladores,1411189,Paradigmas de Linguagens de Programação,1411169
Banco de Dados 1,1411193,Sistemas de Informação 1,1411178
Sistemas de Informação 2,1411195,Sistemas de Informação 1,1411178
Laboratório de Engenharia de Software,1411183,Engenharia de Software 1,1411177
Sistemas Operacionais,1411192,Organização e Arquitetura de Computadores,1411175
Sistemas Operacionais,1411192,Laboratório de Organização e Arquitetura de Computadores,1411182
Inteligência Artificial,1411196,Análise e Técnica de Algorítimos,1411187
Inteligência Artificial,1411196,Paradigmas de Linguagens de Programação,1411169
Inteligência Artificial,1411196,Métodos Estatísticos,1114114
Interconexão de Redes de Computadores,1411191,Redes de Computadores,1411190
Laboratório de Interconexão de Redes de Computadores,1411184,Redes de Computadores,1411190
Banco de Dados 2,1411194,Banco de Dados 1,1411193
Banco de Dados 2,1411194,Sistemas de Informação 2,1411195
Métodos e Software Numéricos,1411188,Análise e Técnica de Algorítimos,1411187
Métodos e Software Numéricos,1411188,Álgebra Linear,1109049
Avaliação de Desempenho de Sistemas Discretos,1411197,Probabilidade e Estatística,1114107
Projeto em Computação 1,1411185,Metodologia Científica,1305218
Projeto em Computação 1,1411185,Laboratório de Engenharia de Software,1411183
Projeto em Computação 2,1411186,Projeto em Computação 1,1411185
