"CODIGO","DISCIPLINA.y","size","Mode","media"
1108089,"Física Clássica",37,1,2.7027027027027
1109049,"Álgebra Linear",42,1,3.33333333333333
1109053,"Cálculo Diferencial e Integral 2",23,1,2.39130434782609
1109103,"Cálculo Diferencial e Integral 1",11,1,1.45454545454545
1109113,"Matemática Discreta",14,1,1.85714285714286
1411180,"Laboratório de Programação 1",13,1,3.76923076923077
1305218,"Metodologia Científica",26,2,3.38461538461538
1411167,"Programação 1",10,2,3.9
1411168,"Programação 2",12,2,2.75
1411181,"Laboratório de Programação 2",11,2,3.18181818181818
1108090,"Física Moderna",44,3,3.11363636363636
1114107,"Probabilidade e Estatística",77,3,3.41558441558442
1411171,"Teoria da Computação",50,3,3.2
1411172,"Estrutura de Dados",48,3,2.79166666666667
1411176,"Gerência da Informação",39,3,3.15384615384615
1411179,"Laboratório de Estrutura de Dados",47,3,2.93617021276596
1411169,"Paradigmas de Linguagens de Programação",41,4,4.02439024390244
1411173,"Lógica Matemática",39,4,3.74358974358974
1411175,"Organização e Arquitetura de Computadores",45,4,4.31111111111111
1411177,"Engenharia de Software 1",38,4,4.42105263157895
1411178,"Sistemas de Informação 1",36,4,3.91666666666667
1411182,"Laboratório de Organização e Arquitetura de Computadores",47,4,4.36170212765957
1114114,"Métodos Estatísticos",68,5,4.79411764705882
1411187,"Análise e Técnica de Algorítimos",58,5,4.68965517241379
1411190,"Redes de Computadores",42,5,4.90476190476191
1411193,"Banco de Dados 1",42,5,5.11904761904762
1411195,"Sistemas de Informação 2",40,5,4.6
1305219,"Direito e Cidadania",42,6,5.38095238095238
1305220,"Informática e Sociedade",44,6,4.97727272727273
1411183,"Laboratório de Engenharia de Software",44,6,5.15909090909091
1411184,"Laboratório de Interconexão de Redes de Computadores",48,6,5.625
1411191,"Interconexão de Redes de Computadores",48,6,5.625
1411192,"Sistemas Operacionais",47,6,5.27659574468085
1411194,"Banco de Dados 2",41,6,5.46341463414634
1411188,"Métodos e Software Numéricos",45,7,5.82222222222222
1411196,"Inteligência Artificial",46,7,6
1411185,"Projeto em Computação 1",42,8,6.21428571428571
1411189,"Compiladores",54,8,6.03703703703704
1411197,"Avaliação de Desempenho de Sistemas Discretos",44,8,6.31818181818182
1411186,"Projeto em Computação 2",47,9,6.61702127659574
