"Nota1","Nota2","Nota3","Final","media","disciplinas"
7.21,6.42,7.73,7.50,7.12,aa
7.25,8.18,8.31,4.07,7.91,adm
6.98,6.07,6.70,5.64,6.58,adsd
6.53,7.29,7.24,6.41,7.02,atal
8.75,8.75,8.75,0.00,8.75,basquetefem
9.26,9.26,9.26,0.00,9.26,basquetmas
5.22,3.75,8.35,7.29,5.77,bd1
6.01,4.99,5.19,5.55,5.40,bd2
4.11,3.60,3.08,6.80,3.59,calculo1
2.87,4.28,3.92,5.83,3.69,calculo2
7.00,6.00,10.00,0.00,7.67,calculo3
6.78,6.22,6.11,4.51,6.37,classica
6.77,7.26,5.10,7.16,6.38,compiladores
5.80,7.99,7.06,5.70,6.95,concorrente
9.21,9.46,9.46,0.00,9.33,didatica
9.38,9.52,9.52,0.00,9.45,didatica2
6.80,5.50,8.80,0.00,7.03,diferenciais
8.99,9.13,9.17,0.00,9.10,direito
4.69,4.86,5.58,4.80,5.04,discreta
5.30,6.30,5.50,4.29,5.70,economia
4.99,4.98,6.40,7.01,5.46,eda
0.00,0.00,0.00,0.00,0.00,empreendedorismo
7.91,8.40,8.15,0.00,8.15,emsoft
8.49,7.64,8.84,6.60,8.32,eptgm2
6.95,8.44,8.44,5.44,7.95,es
8.75,8.75,8.75,0.00,8.75,estagio
0.00,0.00,0.00,0.00,0.00,estagio2
8.00,7.83,7.83,0.00,7.89,eti
8.64,7.52,7.36,2.65,7.84,formais
0.00,0.00,0.00,0.00,0.00,financeira
9.47,9.47,9.47,0.00,9.47,futsal
4.97,5.78,6.79,4.38,5.85,gi
0.00,0.00,0.00,0.00,0.00,grafica
6.51,7.73,7.73,4.21,7.12,grafos
0.00,0.00,0.00,0.00,0.00,gredes
7.64,7.68,8.35,7.80,7.89,ia
0.00,0.00,0.00,0.00,0.00,iarquitet
8.13,7.86,7.86,0.00,8.00,infosoc
8.11,8.00,9.14,0.00,8.42,ingles
8.23,7.14,7.83,4.57,7.73,introducao
5.90,7.63,7.71,3.57,7.08,irc
5.26,5.83,5.90,6.62,5.66,leda
7.59,7.65,7.55,0.00,7.59,les
5.37,3.93,3.97,4.97,4.42,linear
5.90,7.63,7.71,3.57,7.08,lirc
8.78,8.81,7.95,8.50,8.51,loac
6.45,6.71,8.28,5.35,7.15,logica
5.78,6.29,6.48,3.87,6.18,lp1
6.29,5.89,6.29,5.17,6.16,lp2
6.64,7.91,8.07,5.40,7.54,lpt
7.34,5.74,8.53,0.00,7.20,metodologia
6.67,7.01,8.58,5.85,7.42,metodos
8.93,9.53,9.27,0.00,9.24,moderna
8.05,6.76,8.31,6.88,7.71,msn
8.34,8.84,8.57,0.00,8.59,mvirtuais
7.92,7.87,9.90,0.00,8.56,neurais
6.77,7.25,7.58,5.31,7.20,oac
5.79,6.22,6.44,3.61,6.15,p1
6.88,6.43,7.16,5.45,6.82,p2
7.18,7.18,7.18,4.90,7.18,plp
8.00,7.12,7.58,0.00,7.57,predes
4.87,3.77,5.09,3.92,4.58,probabilidade
8.62,8.72,7.21,0.00,8.19,projeto1
7.95,8.62,6.95,0.00,7.84,projeto2
0.00,0.00,0.00,0.00,0.00,realidadevirtual
0.00,0.00,0.00,0.00,0.00,quimica
5.41,6.13,6.81,4.25,6.12,redes
0.00,0.00,0.00,0.00,0.00,redesadhoc
0.00,0.00,0.00,0.00,0.00,relacoeshumanas
0.00,0.00,0.00,0.00,0.00,segredes
9.00,9.00,9.00,0.00,9.00,seminarios
8.73,3.82,6.96,6.48,6.50,si1
7.16,5.22,7.02,6.58,6.47,si2
0.00,0.00,0.00,0.00,0.00,sig
7.83,5.91,7.53,6.20,7.09,so
7.54,8.27,7.94,0.00,7.92,socind
0.00,0.00,0.00,0.00,0.00,srecuperacao
4.61,5.91,4.82,5.71,5.11,teoria
4.92,5.18,4.54,5.38,4.88,vetorial
0.00,0.00,0.00,0.00,0.00,visaocomp
